smax,actFrac,Log10N,Log10ug,Sigma_g,Kappa,Log10V,T,P,ac,smaxes_arg,actFrac_arg,smaxes_mbn,actFrac_mbn,logTSmax,Smax_Twomey,actFrac_Twomey,delta_smax,delta_actFrac
0.001983337954473419,0.5470570758411306,3,-1.3010299956639813,1.8,0.54,-0.3010299956639812,283,82500,0.95,0.0016347299632215883,0.4551030795168892,0.001762324241027236,0.48881912957207413,-2.7047359493843044,0.006228416912749983,0.2622895969787933,-0.004245078958276563,0.28476747886233733
0.0018393259329628582,0.5157786064694257,3,-1.3010299956639813,1.8,0.54,-0.3010299956639812,283,65000,0.95,0.0014792752193165956,0.4105564919720247,0.0016174532491713763,0.45013421189796893,-2.7047359493843044,0.006228416912749983,0.2622895969787933,-0.004389090979787125,0.25348900949063247
0.00459009918639353,0.10411233350802564,3,-1.3010299956639813,1.8,0.006918309709189364,-0.3010299956639812,283,85000,0.95,0.0035632351955171286,0.04455627664184545,0.004745563948601483,0.08323637743706486,-2.7047359493843044,0.006228416912749983,0.2622895969787933,-0.0016383177263564527,-0.15817726347076766
0.00443832396450525,0.8468253441931883,1.85,-1.3010299956639813,1.8,0.54,-0.3010299956639812,283,85000,0.95,0.004021528253663552,0.8181161251129481,0.004752498255521058,0.8637091716694771,-2.7047359493843044,0.006228416912749983,1,-0.0017900929482447328,-0.15317465580681167
0.0020183089287636124,0.5470570758411306,3,-1.3010299956639813,1.8,0.54,-0.3010299956639812,283,85000,0.74,0.0016923704244067863,0.4707138061465956,0.0017995555391162633,0.4982772934574742,-2.7047359493843044,0.006228416912749983,0.2622895969787933,-0.004210107983986371,0.28476747886233733
0.0023353488762395515,0.6085591121086239,2.79,-1.3010299956639813,1.8,0.54,-0.3010299956639812,283,85000,0.95,0.001955445490565393,0.5360162158567398,0.0020941861049085858,0.5665726247004814,-2.7047359493843044,0.006228416912749983,0.4253839168124112,-0.0038930680365104314,0.18317519529621268
0.002584510549931709,0.6530498535919406,3,-1.3010299956639813,1.8,0.54,-0.07000000000000006,283,85000,0.95,0.002140397916363789,0.5764829113819808,0.0023340290901809934,0.614335601681679,-2.5991702195399293,0.008685031993378677,0.29959776190082726,-0.006100521443446968,0.3534520916911133
6.882623067329461e-4,0.13542096890886776,3,-1.3010299956639813,1.8,0.54,-1.35,283,85000,0.95,4.169113163426011e-4,0.048206175035592415,5.278583691082893e-4,0.08145138860469575,-3.1840472343728,0.001376484808261284,0.14339650443824878,-6.882225015283378e-4,-0.007975535529381017
0.007515154142378063,0.029525712194530408,3,-1.3010299956639813,1.8,9.332543007969904e-7,-0.3010299956639812,283,85000,0.95,0.011037410653597802,2.2353487945551367e-8,0.09999995232105255,6.220777989395823e-5,-2.7047359493843044,0.006228416912749983,0.2622895969787933,0.00128673722962808,-0.23276388478426288
0.002003158356424398,0.5470570758411306,3,-1.3010299956639813,1.8,0.54,-0.3010299956639812,283,85000,0.94,0.0016563941337081982,0.46102715858710774,0.0017826876214891672,0.4940162460160104,-2.7047359493843044,0.006228416912749983,0.2622895969787933,-0.004225258556325585,0.28476747886233733
0.0020120073855554835,0.5470570758411306,3,-1.3010299956639813,1.8,0.54,-0.3010299956639812,283,86250,0.95,0.0016649460536189782,0.4633468113912689,0.0017917764208465815,0.4963171214965328,-2.7047359493843044,0.006228416912749983,0.2622895969787933,-0.004216409527194499,0.28476747886233733
0.03500330875625009,0.0010776779137389417,3,-2.94,1.8,0.54,-0.3010299956639812,283,85000,0.95,0.00865128470777578,1.7134843571178522e-6,0.08766366833448408,0.010086251693754772,-2.7047359493843044,0.006228416912749983,0.2622895969787933,0.028774891843500103,-0.26121191906505437
0.002063691359648889,0.5314421044027363,3,-1.3010299956639813,1.8,0.478630092322638,-0.3010299956639812,283,85000,0.95,0.001707399846647108,0.4475462808506069,0.0018207726707309487,0.47627569677429005,-2.7047359493843044,0.006228416912749983,0.2622895969787933,-0.004164725553101094,0.26915250742394303
0.0021264636573387003,0.5780461256287682,3,-1.3010299956639813,1.8,0.54,-0.3010299956639812,283,102000,0.95,0.0017831746378517738,0.49433654572118635,0.0019105193495005369,0.5253345402014702,-2.7047359493843044,0.006228416912749983,0.2622895969787933,-0.004101953255411283,0.31575652864997494
0.0042467806964965405,0.8373385344819348,1.91,-1.3010299956639813,1.8,0.54,-0.3010299956639812,283,85000,0.95,0.0038297625412682507,0.8031129743854818,0.0044871053142845636,0.8489551900204344,-2.7047359493843044,0.006228416912749983,1,-0.0019816362162534424,-0.16266146551806515
